PMAID,LocID,Name,Address,ZIP Code,X Coord,Y Coord,Location 1
281,2545,12th and Howe Play Park,1200 W Howe St,98119,-122.372985,47.636097,"(47.636097, -122.372985)"
4159,2387,12th Ave S Viewpoint,2821 12TH Ave S,98144,-122.317765,47.577953,"(47.577953, -122.317765)"
4467,2382,12th Ave Square Park,564 12th Ave,98122,-122.316455,47.607427,"(47.607427, -122.316455)"
4010,2546,14th Ave NW Boat Ramp,4400 14th Ave NW,98107,-122.373536,47.660775,"(47.660775, -122.373536)"
296,296,3001 E Madison,3001 E Madison St,98112,-122.293173,47.625169,"(47.625169, -122.293173)"
1000001,0,32nd Ave W Boat Launch,32nd Ave W,98199,-122.398685,47.632345,"(47.632345, -122.398685)"
3158,2378,6th Ave NW Pocket Park,606  NW 76th St,98117,-122.363566,47.684202,"(47.684202, -122.363566)"
4404,2533,A. B. Ernst Park,723 N 35th St,98103,-122.348826,47.650087,"(47.650087, -122.348826)"
1000002,0,Adams Street Boat Ramp,Lake Washington Blvd S & S Adams St,98118,-122.267178,47.565219,"(47.565219, -122.267178)"
244,1886,Albert Davis Park,12526 27th Ave NE,98125,-122.298752,47.72016,"(47.72016, -122.298752)"
445,1888,Alki Beach Park,1702 Alki Ave SW,98116,-122.402173,47.582912,"(47.582912, -122.402173)"
446,1049,Alki Playground,5817 SW Lander St,98116,-122.407312,47.578497,"(47.578497, -122.407312)"
3914,1891,Alvin Larkins Park,1504 34TH Ave,98122,-122.288745,47.614318,"(47.614318, -122.288745)"
426,1892,Amy Yee Tennis Center,2000 Martin Luther King Jr Way S,98144,-122.29742,47.584876,"(47.584876, -122.29742)"
2927,1894,Andover Place,4000 Beach Dr SW,98116,-122.409993,47.568517,"(47.568517, -122.409993)"
1556,1898,Arapahoe Triangle,3431 Arapahoe Pl W,98199,-122.409139,47.65129,"(47.65129, -122.409139)"
485,1907,Arroyos Natural Area,4120 Arroyo Dr SW,98146,-122.387822,47.505679,"(47.505679, -122.387822)"
4081,1908,Atlantic City Boat Ramp,8702 Seward Park Ave S,98118,-122.263078,47.522834,"(47.522834, -122.263078)"
4243,2541,Atlantic Street Park,1501 21st Ave S,98144,-122.30566,47.589165,"(47.589165, -122.30566)"
241,2552,B.F. Day Playground,4020 Fremont Ave N,98103,-122.349222,47.65603,"(47.65603, -122.349222)"
4006,1910,Bagley Viewpoint,2548 Delmar Dr E,98102,-122.318347,47.643015,"(47.643015, -122.318347)"
2840,1911,Baker Park on Crown Hill,8347 14th Ave NW,98117,-122.374794,47.690119,"(47.690119, -122.374794)"
4278,1913,Ballard Commons Park,5701 22nd Ave NW,98107,-122.385487,47.670549,"(47.670549, -122.385487)"
4428,1914,Ballard Corners Park,1702 nw 62nd St,98107,-122.379116,47.674186,"(47.674186, -122.379116)"
497,1108,Ballard Playground,2644 NW 60th St,98107,-122.39155,47.672786,"(47.672786, -122.39155)"
4073,2553,Banner Way Triangle,7802 Banner Way NE,98115,-122.32343,47.685762,"(47.685762, -122.32343)"
3703,1919,Bar-S Playground,6425 SW Admiral Way,98116,-122.416054,47.575195,"(47.575195, -122.416054)"
303,1110,Bayview Playground,2614 24th Ave W,98199,-122.386786,47.643802,"(47.643802, -122.386786)"
1000342,0,Bayview-Kinnear (Lower Kerry Park),3rd Ave W & W Prospect St,98119,-122.360626,47.628948,"(47.628948, -122.360626)"
400,1074,Beacon Hill Playground,1902 13th Ave S,98144,-122.315325,47.586226,"(47.586226, -122.315325)"
3119,1923,Beacon Place,1110 S Dearborn St,98104,-122.318716,47.596236,"(47.596236, -122.318716)"
4481,1075,Beaver Pond Natural Area on Thornton Creek,5th Ave NE & NE 103rd St,98125,-122.323168,47.703288,"(47.703288, -122.323168)"
4028,0,Beck Place,5809 15th Ave NE,98105,-122.312027,47.671888,"(47.671888, -122.312027)"
440,1925,Beer Sheva Park,8650 55th Ave S,98118,-122.263223,47.524191,"(47.524191, -122.263223)"
4472,2543,Bell Street Park,1st to 5th Ave on Bell St,98121,-122.344866,47.614696,"(47.614696, -122.344866)"
4022,1182,Bellevue Place,Bellevue Ave E & Bellevue Pl E,98102,-122.327658,47.626904,"(47.626904, -122.327658)"
4415,1186,Belltown Cottage Park,2512 Elliott Ave,98121,-122.350776,47.613889,"(47.613889, -122.350776)"
346,1290,Belmont Place,703 Belmont Pl E,98102,-122.324408,47.625727,"(47.625727, -122.324408)"
447,1188,Belvedere Park,3600 SW Admiral Way,98126,-122.376896,47.580673,"(47.580673, -122.376896)"
475,1189,Belvoir Place,3659 42nd Ave NE,98105,-122.283215,47.655124,"(47.655124, -122.283215)"
436,1077,Benefit Playground,9320 38th Ave S,98118,-122.284294,47.518998,"(47.518998, -122.284294)"
4245,1190,Benvenuto Viewpoint,1401 23rd Ave S,98122,-122.303029,47.589841,"(47.589841, -122.303029)"
253,1191,Bergen Place,5420 22nd Ave NW,98107,-122.384495,47.66833,"(47.66833, -122.384495)"
304,1193,Bhy Kracke Park,1215 5th Ave N,98109,-122.348403,47.630426,"(47.630426, -122.348403)"
288,1113,Bitter Lake Playfield,13035 Linden Ave N,98133,-122.349314,47.724209,"(47.724209, -122.349314)"
4450,1194,Bitter Lake Reservoir Open Space,14201 Linden Ave N,98133,-122.348583,47.731181,"(47.731181, -122.348583)"
3907,1196,Blaine Place,513 W Olympic Pl,98119,-122.364152,47.626809,"(47.626809, -122.364152)"
4418,1198,Blue Dog Pond,1520 26th Ave S,98144,-122.297814,47.589982,"(47.589982, -122.297814)"
238,1199,Blue Ridge Circle,1851 NW Blue Ridge Dr,98117,-122.380095,47.70439,"(47.70439, -122.380095)"
239,1200,Blue Ridge Place,Radford Ave NW & NW Milford Way,98117,-122.381171,47.703423,"(47.703423, -122.381171)"
348,0,Boren Place,321 Broadway,98122,-122.320952,47.604999,"(47.604999, -122.320952)"
349,1202,Boylston Place,815 Broadway,98104,-122.32094,47.609976,"(47.609976, -122.32094)"
401,1203,Bradner Gardens Park,1730 Bradner Pl S,98144,-122.295426,47.587419,"(47.587419, -122.295426)"
402,1115,Brighton Playfield,6000 39th Ave S,98118,-122.2821,47.548387,"(47.548387, -122.2821)"
3997,1207,Broadview Park,Greenwood Ave N & N 122nd St,98133,-122.355836,47.717936,"(47.717936, -122.355836)"
482,1082,Bryant Neighborhood Playground,4103 NE 65th St,98115,-122.283644,47.675299,"(47.675299, -122.283644)"
496,1083,Burke-Gilman Playground Park,5201 Sand Point Way NE,98105,-122.282623,47.666634,"(47.666634, -122.282623)"
3102,1211,Cal Anderson Park and Bobby Morris Playfield,1635 11th Ave,98122,-122.319134,47.617013,"(47.617013, -122.319134)"
448,1212,California Place,2099 California Ave SW,98116,-122.386696,47.585641,"(47.585641, -122.386696)"
4154,1213,Camp Long,5200 35th Ave SW,98126,-122.373161,47.556242,"(47.556242, -122.373161)"
240,1227,Carkeek Park,950 NW Carkeek Park Rd,98117,-122.379763,47.712194,"(47.712194, -122.379763)"
305,1232,Carleton Center,2319 Westmont Way W,98199,-122.406385,47.639414,"(47.639414, -122.406385)"
4049,1233,Carleton Highlands,3298 Perkins Ln W,98199,-122.415934,47.650028,"(47.650028, -122.415934)"
3902,1235,Cascade Place,5119 Palmer Ct NW,98107,-122.358092,47.666216,"(47.666216, -122.358092)"
350,1117,Cascade Playground,333 Pontius Ave N,98109,-122.332355,47.621405,"(47.621405, -122.332355)"
4167,1237,Cedar Park,3737 NE 135th St,98125,-122.288042,47.725808,"(47.725808, -122.288042)"
4448,1245,Cesar Chavez Park,700 S Cloverdale St,98108,-122.32562,47.52678,"(47.52678, -122.32562)"
80,2497,Charles Richey Sr Viewpoint,3521 Beach Dr SW,98116,-122.413877,47.57242,"(47.57242, -122.413877)"
4214,2532,Cheasty Boulevard,Cheasty Blvd S & S Della St,98144,-122.299204,47.572682,"(47.572682, -122.299204)"
258,2021,Cheasty GS: Cheasty Blvd,Cheasty Blvd S & S Della St,98144,-122.299204,47.572682,"(47.572682, -122.299204)"
421,1249,Chinook Beach Park,700 S Cloverdale St,98118,-122.258376,47.520135,"(47.520135, -122.258376)"
595,1250,Christie Park,817 NE 43rd St,98105,-122.319072,47.659308,"(47.659308, -122.319072)"
306,1252,City Hall Park,450 3rd Ave,98119,-122.329875,47.602022,"(47.602022, -122.329875)"
404,2026,Cleveland Playfield,5512 13th Ave S,98108,-122.315542,47.552012,"(47.552012, -122.315542)"
3985,1261,Coe Play Park,2420 7th Ave W,98119,-122.365952,47.640108,"(47.640108, -122.365952)"
3922,2503,College Street Park,30th Ave S & S College St,98144,-122.294616,47.582697,"(47.582697, -122.294616)"
260,2504,College Street Ravine,5050 SW College St,98116,-122.395546,47.583406,"(47.583406, -122.395546)"
405,1263,Colman Park,1800 Lake Washington Blvd S,98144,-122.288612,47.58547,"(47.58547, -122.288612)"
406,1121,Colman Playground,1740 23rd Ave S,98122,-122.301957,47.587625,"(47.587625, -122.301957)"
4034,1271,Columbia Park,4721 Rainier Ave S,98118,-122.287394,47.559792,"(47.559792, -122.287394)"
308,1272,Commodore Park,3330 W Commodore Way,98107,-122.40014,47.66538,"(47.66538, -122.40014)"
4017,1275,Corliss Place,2166 N 50th St,98103,-122.330874,47.665198,"(47.665198, -122.330874)"
295,1276,Cormorant Cove,3701 Beach Dr SW,98116,-122.412089,47.570984,"(47.570984, -122.412089)"
4462,1277,Cottage Grove Park,5206 26th Ave SW,98106,-122.365311,47.554364,"(47.554364, -122.365311)"
4438,1084,Counterbalance Park: An Urban Oasis,700 Queen Anne Ave N,98109,-122.356323,47.625683,"(47.625683, -122.356323)"
483,1279,Cowen Park,5849 15th Ave NE,98105,-122.313072,47.672596,"(47.672596, -122.313072)"
4018,1280,Crescent Place,7515 Orin Ct N,98103,-122.333029,47.684317,"(47.684317, -122.333029)"
4070,1281,Crown Hill Glen,8735 19th Ave NW,98117,-122.381394,47.693703,"(47.693703, -122.381394)"
4469,1282,Crown Hill Park,9089 Holman Rd NW,98117,-122.373976,47.696071,"(47.696071, -122.373976)"
4400,1285,Daejeon Park,1144 Sturgus Ave S,98144,-122.312163,47.59192,"(47.59192, -122.312163)"
499,1819,Dahl Playfield,7700 25th Ave NE,98115,-122.299309,47.685267,"(47.685267, -122.299309)"
575,1287,Dakota Place Park,4304 SW Dakota St,98116,-122.387164,47.566844,"(47.566844, -122.387164)"
331,1289,David Rodgers Park,2800 1st Ave W,98119,-122.359484,47.644135,"(47.644135, -122.359484)"
4082,2505,Day Street Boat Ramp,1402 Lakeside Ave S,98144,-122.285154,47.59026,"(47.59026, -122.285154)"
408,1291,Dearborn Park,2919 S Brandon St,98126,-122.296225,47.553389,"(47.553389, -122.296225)"
450,1124,Delridge Playfield,4458 Delridge Way SW,98106,-122.364371,47.562842,"(47.562842, -122.364371)"
3980,1298,Denny Blaine Lake Park,100 Maiden Ln E,98112,-122.284838,47.61833,"(47.61833, -122.284838)"
3982,1300,Denny Blaine Park,200 Lake Washington Blvd E,98112,-122.280548,47.62011,"(47.62011, -122.280548)"
309,1297,Denny Park,100 Dexter Ave N,98109,-122.341049,47.61913,"(47.61913, -122.341049)"
310,1301,Discovery Park,3801 Discovery Park Blvd,98199,-122.415282,47.66083,"(47.66083, -122.415282)"
3917,1085,Don Armeni Park,1222 Harbor Ave SW,98116,-122.382295,47.59274,"(47.59274, -122.382295)"
395,2496,Dr. Blanche Lavizzo Park,2100 S Jackson St,98144,-122.304179,47.600278,"(47.600278, -122.304179)"
433,2490,Dr. Jose Rizal Park,1007 12th Ave S,98144,-122.318094,47.593859,"(47.593859, -122.318094)"
705,1304,Duwamish Waterway Park,7900 10th Ave S,98106,-122.319694,47.531156,"(47.531156, -122.319694)"
458,2534,E.C. Hughes Playground,2805 SW Holden St,98126,-122.369545,47.532805,"(47.532805, -122.369545)"
374,1305,East Montlake Park,2802 E Park Drive East,98112,-122.301441,47.646662,"(47.646662, -122.301441)"
4241,2507,East Portal Viewpoint,1400 Lake Washington Blvd S,98144,-122.287893,47.590222,"(47.590222, -122.287893)"
329,2535,East Queen Anne Playground,1912 Warren Ave N,98109,-122.353786,47.636139,"(47.636139, -122.353786)"
3977,0,Eastlake Triangle,10th Ave E & E Prospect St,98109,-122.328918,47.62841,"(47.62841, -122.328918)"
4012,1308,Eastmont Place,2201 Westmont Way W,98199,-122.405566,47.637689,"(47.637689, -122.405566)"
1000003,0,Eddie Vine Boat Ramp,8001 Seaview Ave NW,98117,-122.403454,47.686852,"(47.686852, -122.403454)"
318,1311,Ella Bailey Park,2601 W Smith St,98199,-122.39106,47.640584,"(47.640584, -122.39106)"
3920,1086,Emma Schmitz Memorial Overlook,4503 Beach Dr SW,98116,-122.40712,47.562898,"(47.562898, -122.40712)"
1653,1314,Endolyne Park,9827 49th Ave SW,98116,-122.39438,47.514542,"(47.514542, -122.39438)"
4454,1316,Ercolini Park,4542 48th Ave SW,98116,-122.394275,47.515021,"(47.515021, -122.394275)"
452,1127,Fairmount Playfield,5400 Fauntleroy Way SW,98136,-122.380549,47.554041,"(47.554041, -122.380549)"
2975,1323,Fairview Park,2900 Fairview Ave E,98102,-122.325368,47.647413,"(47.647413, -122.325368)"
4155,1461,Fairview Walkway,1251 Fairview Ave. N,98109,-122.328967,47.630501,"(47.630501, -122.328967)"
3149,1324,Fauntleroy Creek Ravine,9102 Fauntleroy Way SW,98136,-122.392498,47.522599,"(47.522599, -122.392498)"
453,1325,Fauntleroy Park,3951 SW Barton St,98136,-122.383222,47.5192,"(47.5192, -122.383222)"
3921,1326,Fauntleroy Place,4501 Fauntleroy Way SW,98126,-122.379834,47.562715,"(47.562715, -122.379834)"
413,2498,Ferdinand Street Boat Ramp,5018 Lake Washington Blvd S,98118,-122.264912,47.561358,"(47.561358, -122.264912)"
351,1331,Firehouse Mini Park,712 18th Ave,98122,-122.308558,47.608448,"(47.608448, -122.308558)"
3910,1332,First Hill Park,1201 University St,98101,-122.325512,47.611906,"(47.611906, -122.325512)"
3948,1333,Fletcher Place,9285 Waters Ave S,98118,-122.261484,47.519093,"(47.519093, -122.261484)"
363,1334,Flo Ware Park,2800 S Jackson St,98144,-122.295868,47.599557,"(47.599557, -122.295868)"
312,2390,Freeway Park - Jim Ellis Freeway Park,700 Seneca St,98101,-122.330904,47.609472,"(47.609472, -122.330904)"
4011,1341,Fremont Canal Park,199 N Canal St,98103,-122.357864,47.651802,"(47.651802, -122.357864)"
4424,1343,Fremont Peak Park,4357 Palatine Ave N,98103,-122.356671,47.661108,"(47.661108, -122.356671)"
392,1345,Frink Park,398 Lake Washington Blvd S,98144,-122.290256,47.599506,"(47.599506, -122.290256)"
287,1128,Froula Playground,7200 12th Ave NE,98115,-122.313978,47.680538,"(47.680538, -122.313978)"
353,1130,Garfield Playfield,537 25th Ave,98122,-122.301412,47.607098,"(47.607098, -122.301412)"
293,1349,Gas Works Park,2101 N Northlake Way,98103,-122.334906,47.645639,"(47.645639, -122.334906)"
409,1786,Genesee Park and Playfield,4316 S Genesee St,98118,-122.278744,47.564856,"(47.564856, -122.278744)"
410,2094,Georgetown Playfield,750 S Homer St,98108,-122.321396,47.55162,"(47.55162, -122.321396)"
3759,1359,Gerber Park,575 M L King Jr Way S,98122,-122.296568,47.607709,"(47.607709, -122.296568)"
242,1134,Gilman Playground,923 NW 54th St,98107,-122.369684,47.667292,"(47.667292, -122.369684)"
243,1361,Golden Gardens Park,8498 Seaview Pl NW,98117,-122.403454,47.686852,"(47.686852, -122.403454)"
354,1346,Grand Army of the Republic Cemetery,1200 E Howe St,98102,-122.316261,47.636461,"(47.636461, -122.316261)"
307,1366,Green Lake Park,7201 E Greenlake Dr N,98115,-122.330394,47.678938,"(47.678938, -122.330394)"
4408,1369,Greenwood Park,602 N 87th St,98117,-122.350647,47.693048,"(47.693048, -122.350647)"
245,1371,Greenwood Triangle,304 NW 55th St,98107,-122.361032,47.668902,"(47.668902, -122.361032)"
4157,1372,Greg Davis Park,2600 SW Brandon St,98106,-122.366001,47.55437,"(47.55437, -122.366001)"
454,1375,Hamilton Viewpoint Park,1120 California Ave SW,98116,-122.38907,47.590748,"(47.590748, -122.38907)"
355,0,Harborview Park,779 Alder St,98104,-122.323693,47.603014,"(47.603014, -122.323693)"
356,1377,Harrison Ridge Greenbelt,138 32nd Ave E,98112,-122.290339,47.619711,"(47.619711, -122.290339)"
3695,1378,Harvard-Miller/Roanoke Annex,2351 Broadway E,98102,-122.321643,47.641091,"(47.641091, -122.321643)"
4412,1381,Herring's House Park (T'ul'altx),4570 West Marginal Way SW,98106,-122.349545,47.561514,"(47.561514, -122.349545)"
456,1788,Hiawatha Playfield,2700 California Ave SW,98116,-122.384965,47.578272,"(47.578272, -122.384965)"
3983,1383,Highland Drive Parkway,165 Highland Dr,98109,-122.353337,47.629736,"(47.629736, -122.353337)"
457,1137,Highland Park Playground,1100 SW Cloverdale St,98106,-122.349034,47.52738,"(47.52738, -122.349034)"
3979,1384,Highland Place,93 Highland Dr,98109,-122.355466,47.629656,"(47.629656, -122.355466)"
358,1093,Hing Hay Park,423 Maynard Ave S,98104,-122.325435,47.598609,"(47.598609, -122.325435)"
4413,1389,Hitt's Hill Park,5234 37th Ave S,98118,-122.28455,47.554207,"(47.554207, -122.28455)"
4426,1392,Homer Harris Park,2401 E Howell St,98122,-122.300994,47.617309,"(47.617309, -122.300994)"
43,1394,Horiuchi Park,156 Boren Ave,98122,-122.318982,47.603132,"(47.603132, -122.318982)"
3927,1396,Horton Hill Corridor,3298 36th Ave S,98144,-122.287187,47.573846,"(47.573846, -122.287187)"
359,1397,Howell Park,1740 Howell Pl,98122,-122.280313,47.617518,"(47.617518, -122.280313)"
4456,1398,Hubbard Homestead,11203 5th Ave NE,98125,-122.324674,47.709964,"(47.709964, -122.324674)"
4032,2391,Hunter Boulevard,3299 Hunter Blvd S,98144,-122.285153,47.573877,"(47.573877, -122.285153)"
439,1089,Hutchinson Playground,59th Ave S & S Norfolk St,98118,-122.260062,47.514312,"(47.514312, -122.260062)"
3905,1399,Hyde Place,3811 E Madison St,98112,-122.282887,47.632304,"(47.632304, -122.282887)"
4446,1400,I-5 Colonnade,1701 Lakeview Blvd E,98102,-122.323409,47.634898,"(47.634898, -122.323409)"
3887,1821,Interbay Athletic Complex,3027 17th Ave W,98119,-122.379191,47.647239,"(47.647239, -122.379191)"
313,1407,Interbay Golf,2501 15th Ave W,98119,-122.378455,47.643753,"(47.643753, -122.378455)"
3023,1412,Interlaken Park,2451 Delmar Dr E,98102,-122.308316,47.636257,"(47.636257, -122.308316)"
364,1413,International Children's Park,700 S Lane St,98104,-122.323412,47.596897,"(47.596897, -122.323412)"
4001,1095,Inverness Ravine Park,8619 45th Ave NE,98115,-122.280809,47.691145,"(47.691145, -122.280809)"
327,1790,Jackson Park Golf Course,1100 NE 135th St,98125,-122.319103,47.729254,"(47.729254, -122.319103)"
1000393,0,Japanese Garden,1075 Lake Washington Blvd E,98112,-122.2952,47.627312,"(47.627312, -122.2952)"
114,1434,Jefferson Park,3801 Beacon Ave S,98108,-122.311441,47.568067,"(47.568067, -122.311441)"
4153,1791,Jefferson Park Golf Course,4101 Beacon Ave S,98108,-122.305242,47.567202,"(47.567202, -122.305242)"
3121,1437,Jimi Hendrix Park,2400 S Massachusetts St,98144,-122.300842,47.588907,"(47.588907, -122.300842)"
429,2560,"John C. Little, Sr. Park",6961 37th Ave S,98118,-122.286686,47.539048,"(47.539048, -122.286686)"
4244,2491,Judge Charles M. Stokes Overlook,20th Ave S & S Judkins St,98144,-122.306962,47.591632,"(47.591632, -122.306962)"
397,1097,Judkins Park and Playfield,2150 S Norman St,98144,-122.303951,47.592425,"(47.592425, -122.303951)"
4455,1439,Junction Plaza,42nd Ave SW & SW Alaska St,98116,-122.385491,47.561204,"(47.561204, -122.385491)"
3122,1098,Katie Black's Garden,1150 S Atlantic St,98144,-122.317642,47.590421,"(47.590421, -122.317642)"
342,2374,Kerry Park,211 W Highland Dr,98119,-122.359874,47.629023,"(47.629023, -122.359874)"
3880,1440,Keystone Place,5664 Keystone Pl N,98103,-122.333769,47.670304,"(47.670304, -122.333769)"
459,1441,Kilbourne Park,9131 California Ave SW,98136,-122.388277,47.52133,"(47.52133, -122.388277)"
4480,1099,Kingfisher Natural Area on Thornton Creek,15th Ave NE & NE 105th St,98125,-122.312411,47.704889,"(47.704889, -122.312411)"
314,1442,Kinnear Park,899 W Olympic Pl,98119,-122.367207,47.627317,"(47.627317, -122.367207)"
4468,1444,Kirke Park,7028 9th Ave NW,98117,-122.368021,47.680338,"(47.680338, -122.368021)"
246,1100,Kiwanis Memorial Preserve Park,4441 Brygger Dr W,98199,-122.401004,47.66197,"(47.66197, -122.401004)"
4429,1448,Kiwanis Memorial Preserve Park,4531 33rd Ave W,98199,-122.403237,47.660251,"(47.660251, -122.403237)"
3915,1449,Kobe Terrace,650 Main St,98104,-122.324494,47.60042,"(47.60042, -122.324494)"
415,1450,Kubota Garden,9817 55th Ave S,98118,-122.266125,47.513543,"(47.513543, -122.266125)"
333,1457,Lake City Memorial Triangle,12356 Lake City Way NE,98125,-122.295266,47.718819,"(47.718819, -122.295266)"
487,1458,Lake City Mini Park,12359 Lake City Way NE,98125,-122.295875,47.71911,"(47.71911, -122.295875)"
4439,1459,Lake People Park (Xacua'bs),3100 S Bradford st,98108,-122.292012,47.569133,"(47.569133, -122.292012)"
344,1460,Lake Union Park,860 Terry Ave N,98109,-122.338848,47.627015,"(47.627015, -122.338848)"
411,1462,Lakeridge Park,10201 Holyoke Way S,98178,-122.247429,47.506033,"(47.506033, -122.247429)"
3972,1140,Lakeridge Playfield,10145 Rainier Ave S,98178,-122.246841,47.510319,"(47.510319, -122.246841)"
365,1463,Lakeview Park,340 37th Ave E,98112,-122.284732,47.62205,"(47.62205, -122.284732)"
366,1464,Lakeview Place,1042 Lakeview Blvd E,98102,-122.325705,47.62939,"(47.62939, -122.325705)"
4040,1465,Lakewood Moorage,4400 Lake Washington Blvd S,98118,-122.268295,47.562981,"(47.562981, -122.268295)"
414,2167,Lakewood Playfield,5013 S Angeline St,98118,-122.27006,47.558831,"(47.558831, -122.27006)"
4024,1466,Lakewood Triangle,3114 Cascadia Ave S,98144,-122.28372,47.576058,"(47.576058, -122.28372)"
3096,0,Lambert Place,3800 E Madison St,98112,-122.283837,47.632017,"(47.632017, -122.283837)"
3929,1468,Landing Parkway,4099 S Horton St,98144,-122.283396,47.573861,"(47.573861, -122.283396)"
340,1142,Laurelhurst Playfield,4544 NE 41st St,98105,-122.278019,47.65989,"(47.65989, -122.278019)"
4162,1053,Laurelhurst Triangle,3325 East Laurelhurst Dr NE,98105,-122.277487,47.652696,"(47.652696, -122.277487)"
4482,1102,LaVilla Meadows Natural Area on Thornton Creek,Ravenna Ave NE & NE 100th St,98115,-122.299926,47.701262,"(47.701262, -122.299926)"
316,1054,Lawton Park,4005 27th Ave W,98199,-122.391158,47.655065,"(47.655065, -122.391158)"
